"FIPS","tract","county","add","rural","appalachia","Owner Occupied","Renter Occupied","pct.occ","z.occ","30% or More of Income on Rent","Under 30% of Income on Rent","pct.rent","z.rent","No Vehicle Available","Vehicle Available","pct.car","z.car","Not Overcrowded","Overcrowded","pct.crowd","z.crowd","ind.ht","9th Grade or Higher","Less than 9th Grade","pct.edu","z.edu","Limited English","Not Limited English","pct.eng","z.eng","Not Single Parent Household","Single Parent Household","pct.sing","z.sing","POP2010","LAPOP05_10","PovertyRate","LILATracts_halfAnd10","LILATracts_Vehicle","pct.food","z.food","ind.econ","estimate","z.inc","At or Above Poverty Level","Below Poverty Level","pct.pov","z.pov","Employed","Unemployed","pct.unemp","z.unemp","Insured","Uninsured","pct.unins","z.unins","ind.sn","index","index2"
21001970100,"Census Tract 9701","Adair County","Lake Cumberland",1,1,555,67,0.107717041800643,-1.15426927005497,20,25,0.444444444444444,0.0580790510865067,31,591,0.0498392282958199,-0.377088856760682,613,9,0.0144694533762058,-0.29251398659064,-0.441448265579947,1095,115,0.0950413223140496,0.729038081850081,0,622,0,-0.47303134062037,536,86,0.138263665594855,-0.45162587481671,1727,970.7277804,19.7,1,0,0.562089044817603,0.496162028872356,0.0751357238213392,32071,0.831532908613872,1272,335,0.208462974486621,0.147982143857427,655,20,0.0296296296296296,-0.641929743842567,1567,40,0.0248911014312383,-0.872572463593767,-0.133746788741258,-0.166686443499955,1.30919648534307
21001970200,"Census Tract 9702","Adair County","Lake Cumberland",1,1,650,122,0.158031088082902,-0.892177047766335,41,66,0.383177570093458,-0.323792851497822,15,757,0.0194300518134715,-0.775844805741782,736,36,0.0466321243523316,1.26907039858208,-0.180686076605964,1367,98,0.0668941979522184,0.138825727327979,0,772,0,-0.47303134062037,709,63,0.0816062176165803,-1.16457379120655,1722,0,10,0,0,0,-0.944134555068114,-0.610728489891762,41741,0.420108411603142,1711,260,0.131912734652461,-0.469308760124948,982,42,0.041015625,-0.423825291151193,1858,113,0.0573313039066464,-0.0527786260732203,-0.131451066436555,-0.30762187764476,1.16826105119826
21001970300,"Census Tract 9703","Adair County","Lake Cumberland",1,1,1035,130,0.111587982832618,-1.13410504927799,39,19,0.672413793103448,1.47899516318652,50,1115,0.0429184549356223,-0.467841052912085,1153,12,0.0103004291845494,-0.494931350618975,-0.154470572405632,2098,362,0.147154471544715,1.82179001322329,0,1165,0,-0.47303134062037,942,223,0.191416309012876,0.217219400212621,3016,0.626660302,25.5,0,0,0.000207778614721485,-0.943602143287884,0.155593982381915,33413,0.774435527539581,2457,801,0.24585635359116,0.449517355770586,1254,74,0.0557228915662651,-0.142100222707129,3190,68,0.0208717004297115,-0.974146434165422,0.0269265566094039,0.00934998886189546,1.48523291770492
21001970401,"Census Tract 9704.01","Adair County","Lake Cumberland",1,1,979,870,0.47052460789616,0.735641168228242,309,457,0.403394255874674,-0.197783742252345,341,1508,0.184424012979989,1.38772327375869,1736,113,0.0611141157382369,1.9722101232406,0.974447705743795,2791,316,0.101705825555198,0.868784938371322,0,1849,0,-0.47303134062037,1555,294,0.159004867495944,-0.190629356151202,4070,0,20,0,1,0,-0.944134555068114,-0.184752578367091,32780,0.801367451697574,3346,911,0.214000469814423,0.192635766159625,1660,117,0.0658413055711874,0.0517230730928355,4064,193,0.0453370918487198,-0.355883427544691,0.172460715851336,0.320718614409347,1.79660154325237
21001970402,"Census Tract 9704.02","Adair County","Lake Cumberland",1,1,929,322,0.257394084732214,-0.374582647606564,137,133,0.507407407407407,0.450522548714131,41,1210,0.0327737809752198,-0.600868301924642,1206,45,0.0359712230215827,0.751454897608229,0.0566316241977887,2130,193,0.0830822212656048,0.478269687287478,0,1251,0,-0.47303134062037,1100,151,0.1207034372502,-0.672594673384065,4261,0,13.2,0,0,0,-0.944134555068114,-0.402872720446268,45849,0.24532745671999,2497,553,0.181311475409836,-0.0709639162188724,1838,135,0.0684237202230106,0.101190521123229,3809,399,0.094819391634981,0.894579927666256,0.292533497322651,-0.0179025329752761,1.45798039586775
21001970500,"Census Tract 9705","Adair County","Lake Cumberland",1,1,732,59,0.0745891276864728,-1.32683675908699,12,22,0.352941176470588,-0.5122540596526,39,752,0.0493046776232617,-0.384098427073715,791,0,0,-0.99504495707627,-0.804558550722393,1420,117,0.0761223162003904,0.332328599203861,0,791,0,-0.47303134062037,692,99,0.125158027812895,-0.616540417970705,2457,88.36102747,22.4,0,0,0.0359629741432641,-0.851983054724088,-0.402306553527825,42212,0.40006901779838,1622,408,0.200985221674877,0.0876825444973418,859,59,0.0642701525054466,0.021626848006577,1910,120,0.0591133004926108,-0.00774592873528714,0.125408120391753,-0.360485661286155,1.11539726755687
21001970600,"Census Tract 9706","Adair County","Lake Cumberland",1,1,431,96,0.182163187855787,-0.766469891906025,38,19,0.666666666666667,1.44317374859577,0,527,0,-1.03063134210623,527,0,0,-0.99504495707627,-0.337243110623189,1040,57,0.0519598906107566,-0.174329271593106,0,527,0,-0.47303134062037,454,73,0.138519924098672,-0.448401250819824,1403,134.4783004,28.9,0,0,0.0958505348538845,-0.698527210125615,-0.448572268289729,40083,0.490650481514599,1231,387,0.239184177997528,0.395713823441422,609,32,0.0499219968798752,-0.253219270233512,1534,84,0.0519159456118665,-0.189629724995668,0.11087882743171,-0.224978850493736,1.25090407834929
21003920100,"Census Tract 9201","Allen County","Barren River",0,0,1103,151,0.120414673046252,-1.08812570504941,54,32,0.627906976744186,1.20158746414648,8,1246,0.00637958532695375,-0.946975752069715,1201,53,0.0422647527910686,1.05702273502273,0.0558771855125192,2168,190,0.0805767599660729,0.425733087322546,0,1254,0,-0.47303134062037,1149,105,0.0837320574162679,-1.13782332661896,3185,0,13.5,0,0,0,-0.944134555068114,-0.532314033746224,55407,-0.161331834120605,2616,562,0.176840780365009,-0.10701500360448,1545,12,0.00770712909441233,-1.06186623822254,3153,18,0.00567644276253548,-1.358144610642,-0.672089421647406,-0.38284208996037,1.09304083888265
21003920200,"Census Tract 9202","Allen County","Barren River",0,0,748,179,0.193096008629989,-0.70951944756054,79,58,0.576642335766423,0.882058743400409,89,838,0.0960086299892125,0.228331141930336,890,37,0.0399137001078749,0.942872788909141,0.335935806669836,1661,189,0.102162162162162,0.878353784545044,26,901,0.0280474649406688,0.624502757534537,789,138,0.148867313915858,-0.318195068341135,2703,4.608310558,19.9,0,0,0.00170488736884943,-0.939765952840412,0.0612238802245083,52039,-0.0180352771472711,2343,481,0.170325779036827,-0.159551103661548,1244,72,0.0547112462006079,-0.161478797141526,2414,419,0.147899752912107,2.23596961539523,0.474226109361222,0.290461932085189,1.76634486092821
21003920300,"Census Tract 9203","Allen County","Barren River",0,0,1316,683,0.341670835417709,0.064425591772809,273,370,0.42457231726283,-0.0657824498571674,243,1756,0.121560780390195,0.563396841179574,1954,45,0.0225112556278139,0.0979371931039744,0.164994294049798,3140,418,0.117481731309725,1.19958727399905,0,1999,0,-0.47303134062037,1568,431,0.215607803901951,0.521632614908332,4685,3176.964111,18.5,0,0,0.678114004482391,0.793464306149886,0.510413213609225,43390,0.349949260044642,3955,918,0.188384978452699,-0.0139241329718162,1936,35,0.0177574835109082,-0.86934665797851,4683,176,0.0362214447417164,-0.586244237684467,-0.279891442147538,0.131838688503828,1.60772161734685
21003920400,"Census Tract 9204","Allen County","Barren River",0,0,1269,481,0.274857142857143,-0.283615372062039,138,262,0.345,-0.561750826048887,50,1700,0.0285714285714286,-0.655973806728413,1699,51,0.0291428571428571,0.419919325193263,-0.270355169911519,3143,236,0.0698431488606096,0.200661786906836,0,1750,0,-0.47303134062037,1391,359,0.205142857142857,0.389947156892514,4492,0,24.4,0,0,0,-0.944134555068114,-0.206639237972284,37679,0.592932228237846,3963,814,0.170399832530877,-0.158953946181909,2236,171,0.0710427918570835,0.15136015203626,4552,264,0.0548172757475083,-0.116310436448846,0.117256999410838,-0.119912469490988,1.35597045935204
21003920500,"Census Tract 9205","Allen County","Barren River",0,0,443,78,0.149712092130518,-0.935511748460824,22,56,0.282051282051282,-0.954105535554875,22,499,0.0422264875239923,-0.476914831087192,514,7,0.0134357005758157,-0.342705472006014,-0.677309396777226,922,78,0.078,0.371701437514777,0,521,0,-0.47303134062037,434,87,0.166986564299424,-0.0901918266055938,1600,124.7951993,17.8,0,0,0.0779969995625,-0.744275096743448,-0.233949206613659,44338,0.309615193533146,1084,310,0.222381635581062,0.260220366857448,567,33,0.055,-0.155947573271291,1233,197,0.137762237762238,1.97978525730023,0.598418311104884,-0.104280097428667,1.37160283141436
21003920600,"Census Tract 9206","Allen County","Barren River",0,0,819,335,0.290294627383016,-0.203199565246695,97,161,0.375968992248062,-0.368723384773905,32,1122,0.0277296360485269,-0.667012243645957,1091,63,0.0545927209705373,1.65557882584785,0.104160908045323,1989,283,0.12455985915493,1.34800735583135,7,1147,0.00606585788561525,-0.235666363853032,906,248,0.214904679376083,0.512784860843019,3291,60.52409339,20.6,0,0,0.0183907910635065,-0.897010004627309,0.182028962048507,40368,0.478524733670953,2828,781,0.216403435854807,0.212012963181099,1216,134,0.0992592592592593,0.691860738893196,3256,367,0.101297267457908,1.05828182452971,0.610170065068739,0.29878664505419,1.77466957389721
